gpu_name,year,shader_cores,memory_bandwidth,boost_clock,tdp,transistors,process_nm,die_size,compute_index,memory_pressure_ratio,perf_per_watt,transistor_density,log_transistors,expected_log_transistors,moore_deviation
fire gl3,2024.0,480.0,8.0,1250.0,50.0,29.0,180.0,156.0,600000.0,66666.66666666667,11764.70588235294,0.18471337579617833,3.4011973816621555,3.3314383390085567,-0.07630918228861328
gamecube gpu,2024.0,480.0,1.296,1250.0,45.0,51.0,180.0,120.0,600000.0,261324.04181184666,13043.478260869566,0.4214876033057851,3.9512437185814275,3.3314383390085567,-0.07630918228861328
7200,2024.0,480.0,5.312,1250.0,23.0,30.0,180.0,111.0,600000.0,95057.03422053231,25000.0,0.26785714285714285,3.4339872044851463,3.3314383390085567,-0.07630918228861328
7200,2024.0,480.0,2.288,1250.0,23.0,30.0,180.0,111.0,600000.0,182481.75182481753,25000.0,0.26785714285714285,3.4339872044851463,3.3314383390085567,-0.07630918228861328
7200 64 mb,2024.0,480.0,5.312,1250.0,23.0,30.0,180.0,111.0,600000.0,95057.03422053231,25000.0,0.26785714285714285,3.4339872044851463,3.3314383390085567,-0.07630918228861328
ddr,2024.0,480.0,5.312,1250.0,23.0,30.0,180.0,115.0,600000.0,95057.03422053231,25000.0,0.25862068965517243,3.4339872044851463,3.3314383390085567,-0.07630918228861328
ddr maxx,2024.0,480.0,4.736,1250.0,50.0,30.0,180.0,115.0,600000.0,104602.51046025105,11764.70588235294,0.25862068965517243,3.4339872044851463,3.3314383390085567,-0.07630918228861328
sdr,2024.0,480.0,2.656,1250.0,23.0,30.0,180.0,115.0,600000.0,164113.78555798688,25000.0,0.25862068965517243,3.4339872044851463,3.3314383390085567,-0.07630918228861328
sdr pci,2024.0,480.0,2.656,1250.0,23.0,30.0,180.0,115.0,600000.0,164113.78555798688,25000.0,0.25862068965517243,3.4339872044851463,3.3314383390085567,-0.07630918228861328
i815 graphics,2024.0,480.0,40.0,1250.0,50.0,29.0,150.0,154.0,600000.0,14634.146341463415,11764.70588235294,0.1870967741935484,3.4011973816621555,3.3314383390085567,-0.07630918228861328
